Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,2.177596e+01,1.783688e+02,3.741737e+02,2.175935e-01,8.635101e-01,4.549762e-01
2,S.2,normal,-3.458969e+01,1.921258e+02,3.951154e+02,-4.510122e-01,8.657292e-01,2.170278e-01
3,S.3,normal,-5.451026e+01,1.342621e+02,4.157097e+02,-8.940884e-01,-3.400466e-02,4.465978e-01
4,S.4,normal,-5.292643e+01,2.506395e+01,3.844758e+02,-5.202857e-01,-7.736239e-01,3.616750e-01
5,S.5,normal,8.047057e+01,1.415693e+02,3.658312e+02,8.532197e-01,-2.254069e-01,-4.703274e-01
6,S.6,normal,6.582375e+01,1.574460e+02,3.536115e+02,-3.509645e-02,2.205469e-01,-9.747447e-01
7,S.7,normal,7.827841e+01,1.531848e+02,3.819140e+02,7.775147e-01,1.421101e-01,6.125975e-01
8,S.8,normal,6.409444e+01,1.823987e+02,3.767633e+02,7.130013e-01,6.288483e-01,-3.101273e-01
9,S.9,normal,2.847952e+01,1.750247e+02,3.653183e+02,1.329916e-02,-8.700796e-01,-4.927318e-01
10,S.10,normal,3.241652e+01,1.874706e+02,3.733673e+02,-3.067819e-01,-1.551700e-01,9.390458e-01
11,S.11,normal,6.317879e+01,1.701317e+02,3.326839e+02,2.372876e-01,2.079048e-01,-9.489311e-01
12,S.12,normal,5.039298e+01,1.662413e+02,3.427789e+02,-6.767734e-01,-6.846766e-01,2.705469e-01
13,S.13,normal,8.142865e+01,2.070241e+02,3.811433e+02,-1.009945e-01,8.648270e-01,-4.918072e-01
14,S.14,normal,5.704902e+01,1.811261e+02,4.119153e+02,-4.778185e-01,6.487444e-01,5.923008e-01
15,S.15,normal,7.593346e+01,1.645551e+02,4.161852e+02,7.724344e-01,-1.491824e-01,6.173246e-01
16,S.16,normal,5.595840e+01,1.533750e+02,3.870408e+02,9.221910e-01,3.796613e-01,7.362650e-02
17,S.17,normal,5.903194e+01,1.842458e+02,4.097231e+02,-5.514621e-01,6.856762e-01,4.751184e-01
18,S.18,normal,7.134989e+01,1.615908e+02,4.182717e+02,3.620866e-01,-5.163252e-01,7.760810e-01
19,S.19,normal,-2.347473e+01,1.351077e+02,4.202131e+02,-2.194256e-01,-8.234398e-03,9.755945e-01
