Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,1.174988e+02,1.996801e+02,3.719419e+02,3.989623e-01,8.241559e-01,4.019904e-01
2,S.2,normal,8.237138e+01,2.430104e+02,4.172839e+02,1.041057e-01,8.826959e-01,4.582684e-01
3,S.3,normal,-2.568466e+00,1.662784e+02,3.917718e+02,-9.261298e-01,3.732626e-01,-5.439323e-02
4,S.4,normal,-4.217818e+01,3.173357e+01,3.743304e+02,-7.232078e-01,-6.718602e-01,-1.599205e-01
5,S.5,normal,1.622727e+02,1.375323e+02,3.579278e+02,9.433988e-01,-2.580180e-01,-2.083876e-01
6,S.6,normal,1.555110e+02,1.593369e+02,3.437525e+02,5.516124e-01,1.451715e-01,-8.213702e-01
7,S.7,normal,1.663354e+02,1.537820e+02,3.775571e+02,8.704311e-01,-7.205260e-02,4.869889e-01
8,S.8,normal,1.693420e+02,1.865238e+02,3.597059e+02,9.837391e-01,-1.198443e-01,-1.337714e-01
9,S.9,normal,1.341115e+02,1.978435e+02,3.501125e+02,-5.182807e-01,-7.035958e-01,-4.861462e-01
10,S.10,normal,1.373725e+02,2.096217e+02,3.700140e+02,1.080204e-01,-3.259426e-01,9.391981e-01
11,S.11,normal,1.694845e+02,1.963365e+02,3.177006e+02,7.740547e-01,2.826350e-01,-5.665304e-01
12,S.12,normal,1.504855e+02,1.839194e+02,3.074598e+02,-9.064535e-01,-1.685824e-02,-4.219691e-01
13,S.13,normal,2.054908e+02,2.105849e+02,3.542391e+02,-6.028393e-02,6.286842e-01,-7.753205e-01
14,S.14,normal,1.777235e+02,1.926323e+02,4.023911e+02,-2.098885e-01,8.372882e-01,5.048716e-01
15,S.15,normal,1.991063e+02,1.573727e+02,4.007179e+02,5.878186e-01,-7.504788e-01,3.020774e-01
16,S.16,normal,1.354563e+02,1.583099e+02,3.824285e+02,9.629013e-01,2.621335e-01,-6.408577e-02
17,S.17,normal,1.494058e+02,1.774091e+02,4.155200e+02,-4.708900e-01,8.689278e-01,1.524046e-01
18,S.18,normal,1.524057e+02,1.589988e+02,4.186198e+02,2.935665e-01,-8.794150e-01,3.747637e-01
19,S.19,normal,9.824524e+00,1.629901e+02,3.983951e+02,-4.598648e-01,-4.129743e-01,7.861149e-01
