Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,3.934008e+01,5.031390e+01,3.665495e+02,-4.150717e-02,9.895840e-01,1.378429e-01
2,S.2,normal,1.481762e+01,6.960704e+01,3.656959e+02,-3.240134e-01,9.367272e-01,1.325054e-01
3,S.3,normal,-1.823486e+01,2.602114e+00,3.728924e+02,-9.900539e-01,1.025397e-01,-9.632721e-02
4,S.4,normal,-1.457376e+01,-6.930670e+01,3.517762e+02,-3.828465e-01,-8.976877e-01,-2.181408e-01
5,S.5,normal,8.259500e+01,2.806876e+01,3.663058e+02,9.464255e-01,-2.854706e-01,-1.509480e-01
6,S.6,normal,7.407399e+01,4.088260e+01,3.580590e+02,2.853612e-01,3.508886e-01,-8.918778e-01
7,S.7,normal,7.779015e+01,3.672913e+01,3.804344e+02,7.160993e-01,2.767778e-01,6.407777e-01
8,S.8,normal,7.088298e+01,5.938468e+01,3.710069e+02,6.103942e-01,7.840334e-01,1.127407e-01
9,S.9,normal,5.004229e+01,5.214863e+01,3.589853e+02,-1.101980e-01,-6.571766e-01,-7.456375e-01
10,S.10,normal,5.893865e+01,6.467486e+01,3.659209e+02,2.438081e-01,-2.386160e-01,9.400106e-01
11,S.11,normal,8.163465e+01,5.614433e+01,3.440389e+02,8.122715e-01,4.996482e-01,-3.009427e-01
12,S.12,normal,7.258943e+01,4.612619e+01,3.429084e+02,-5.455400e-01,-4.555407e-01,-7.034690e-01
13,S.13,normal,8.732713e+01,7.956018e+01,3.641650e+02,1.941754e-01,4.867964e-01,-8.516602e-01
14,S.14,normal,7.124071e+01,7.374213e+01,3.825378e+02,-5.939122e-01,8.039539e-01,-3.044031e-02
15,S.15,normal,9.590506e+01,6.712033e+01,3.922717e+02,7.484532e-01,1.197377e-01,6.522888e-01
16,S.16,normal,6.078540e+01,3.481365e+01,3.780419e+02,9.898474e-01,1.410897e-01,1.720480e-02
17,S.17,normal,5.481284e+01,5.070003e+01,3.956304e+02,-7.665867e-01,6.281918e-01,1.331163e-01
18,S.18,normal,6.142030e+01,4.580798e+01,3.998060e+02,4.393480e-01,-8.124816e-01,3.832061e-01
19,S.19,normal,1.590181e+00,9.553955e+00,3.839283e+02,-3.183886e-01,-3.180182e-01,8.930247e-01
