Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,3.260651e+01,1.069928e+02,4.013165e+02,-3.142419e-01,9.409976e-01,1.256009e-01
2,S.2,normal,-1.512526e+01,1.079184e+02,4.324948e+02,-3.215717e-01,7.675395e-01,5.545040e-01
3,S.3,normal,-2.498517e+01,7.055441e+01,4.378494e+02,-8.358901e-01,3.335977e-02,5.478823e-01
4,S.4,normal,1.839607e+00,-3.071805e+01,3.934770e+02,-3.392680e-02,-9.591910e-01,-2.807163e-01
5,S.5,normal,7.701741e+01,7.556619e+01,3.970035e+02,9.871300e-01,1.098057e-01,-1.162631e-01
6,S.6,normal,6.668352e+01,9.172288e+01,3.855255e+02,4.617577e-01,2.954349e-01,-8.363600e-01
7,S.7,normal,6.953227e+01,8.899963e+01,4.154169e+02,4.141586e-01,7.904074e-02,9.067664e-01
8,S.8,normal,6.257500e+01,1.113606e+02,3.997140e+02,8.458875e-01,5.123992e-01,1.480586e-01
9,S.9,normal,4.057092e+01,1.076917e+02,3.891182e+02,-3.167774e-01,-7.068479e-01,-6.324698e-01
10,S.10,normal,4.072993e+01,1.153082e+02,3.984764e+02,2.646297e-01,-1.242610e-01,9.563109e-01
11,S.11,normal,7.408791e+01,1.236972e+02,3.753439e+02,7.660035e-01,6.373391e-01,-8.388932e-02
12,S.12,normal,6.835744e+01,1.120009e+02,3.674821e+02,-2.539382e-01,-6.932697e-01,-6.744572e-01
13,S.13,normal,8.562130e+01,1.346006e+02,4.084190e+02,8.273860e-03,6.702511e-01,-7.420883e-01
14,S.14,normal,6.759827e+01,1.184405e+02,4.312156e+02,-4.269081e-01,6.753225e-01,6.014059e-01
15,S.15,normal,9.279240e+01,9.585509e+01,4.357528e+02,7.280023e-01,-5.959126e-01,3.389703e-01
16,S.16,normal,5.075177e+01,8.985572e+01,4.152659e+02,9.068969e-01,2.494289e-01,-3.395928e-01
17,S.17,normal,5.540929e+01,1.078732e+02,4.369613e+02,-6.916724e-01,6.936461e-01,-2.011074e-01
18,S.18,normal,5.994794e+01,9.925468e+01,4.439102e+02,2.192492e-01,-8.728877e-01,4.358864e-01
19,S.19,normal,-1.020088e+01,7.292888e+01,4.432025e+02,-8.670435e-02,-2.983183e-01,9.505201e-01
