Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,6.616096e+00,5.428834e+01,3.608129e+02,-6.974464e-01,7.045906e-01,1.308459e-01
2,S.2,normal,-1.713909e+01,3.644134e+01,3.688025e+02,-8.521014e-01,3.706564e-01,3.695092e-01
3,S.3,normal,-1.374028e+01,1.820631e+01,3.764726e+02,-9.785995e-01,5.193961e-02,1.991113e-01
4,S.4,normal,-5.638269e+00,-1.294955e+01,3.765453e+02,-4.552692e-01,-8.427234e-01,2.873103e-01
5,S.5,normal,3.077351e+01,5.394728e+01,3.676978e+02,9.603499e-01,2.784296e-01,-1.432179e-02
6,S.6,normal,2.458109e+01,5.734661e+01,3.614868e+02,3.210005e-01,3.807212e-01,-8.671852e-01
7,S.7,normal,2.350006e+01,5.765903e+01,3.727548e+02,3.223126e-01,6.279423e-01,7.083806e-01
8,S.8,normal,1.825463e+01,6.538747e+01,3.642987e+02,4.431858e-01,8.934637e-01,7.286217e-02
9,S.9,normal,1.084922e+01,5.701537e+01,3.565192e+02,-2.868494e-02,-8.684072e-01,-4.950214e-01
10,S.10,normal,1.360336e+01,6.613826e+01,3.601345e+02,6.068282e-02,7.530624e-01,6.551447e-01
11,S.11,normal,2.505283e+01,7.091748e+01,3.547071e+02,6.966500e-02,9.787123e-01,-1.930518e-01
12,S.12,normal,2.636047e+01,6.427853e+01,3.522209e+02,1.720168e-01,-7.800848e-01,-6.015627e-01
13,S.13,normal,2.087599e+01,7.810727e+01,3.693656e+02,-7.383984e-02,9.220970e-01,-3.798484e-01
14,S.14,normal,1.659594e+01,6.983852e+01,3.743572e+02,-9.120833e-01,4.076401e-01,4.397339e-02
15,S.15,normal,2.197038e+01,7.108676e+01,3.800225e+02,4.002620e-01,2.974023e-01,8.668000e-01
16,S.16,normal,1.489531e+01,5.225243e+01,3.736757e+02,7.340437e-01,6.781810e-01,-3.535903e-02
17,S.17,normal,9.902802e+00,5.727689e+01,3.805107e+02,-8.049558e-01,4.611651e-01,-3.733269e-01
18,S.18,normal,1.274223e+01,5.494652e+01,3.821005e+02,7.278284e-01,-6.345080e-01,2.601257e-01
19,S.19,normal,-5.058049e+00,3.007203e+01,3.786463e+02,-2.830535e-01,-6.516459e-01,7.037317e-01
