Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,-4.635564e+00,3.863905e+01,3.720199e+02,-3.401006e-02,6.228799e-01,7.815779e-01
2,S.2,normal,-1.245613e+01,2.527871e+01,3.917144e+02,-4.460301e-01,4.990261e-01,7.429872e-01
3,S.3,normal,-1.323446e+01,-3.249836e-02,3.920084e+02,-1.443462e-01,-1.491504e-01,9.782220e-01
4,S.4,normal,-1.402908e+01,-2.575677e+01,3.796871e+02,3.767053e-01,-8.816157e-01,2.843360e-01
5,S.5,normal,1.569577e+01,3.603092e+01,3.554078e+02,5.358801e-01,-4.828191e-01,-6.926169e-01
6,S.6,normal,9.365763e+00,4.179007e+01,3.560829e+02,-1.133598e-01,6.689670e-01,-7.345970e-01
7,S.7,normal,1.692870e+01,3.781530e+01,3.639587e+02,8.843976e-01,2.578934e-01,3.890140e-01
8,S.8,normal,1.047463e+01,4.859892e+01,3.655233e+02,7.229311e-01,6.677595e-01,1.773919e-01
9,S.9,normal,-3.313850e+00,4.382993e+01,3.654692e+02,-4.999892e-01,-7.445140e-01,-4.423909e-01
10,S.10,normal,4.796253e+00,5.166861e+01,3.669799e+02,9.280499e-01,9.940863e-02,3.589447e-01
11,S.11,normal,8.577679e+00,5.742793e+01,3.533538e+02,-3.461963e-02,9.982258e-01,-4.844151e-02
12,S.12,normal,5.797197e+00,5.226398e+01,3.508609e+02,-5.937482e-01,-3.475649e-01,-7.257146e-01
13,S.13,normal,2.103880e+01,5.942801e+01,3.682426e+02,1.383015e-02,9.398293e-01,3.413644e-01
14,S.14,normal,1.890515e+01,4.775904e+01,3.729911e+02,-4.611892e-01,1.361539e-02,8.871975e-01
15,S.15,normal,2.842325e+01,4.579512e+01,3.705657e+02,9.559569e-01,-2.883041e-01,5.501858e-02
16,S.16,normal,1.047604e+01,3.226836e+01,3.703167e+02,2.515805e-01,8.714304e-01,-4.210894e-01
17,S.17,normal,1.779787e+01,3.341967e+01,3.775264e+02,-3.656877e-01,3.214256e-01,8.734747e-01
18,S.18,normal,2.228724e+01,3.119053e+01,3.754326e+02,-1.346941e-01,-4.185391e-01,-8.981552e-01
19,S.19,normal,-1.720726e+00,1.131055e+01,3.856434e+02,6.390240e-01,-4.153953e-01,6.473754e-01
