Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,7.917024e+01,1.505417e+02,4.062637e+02,2.736600e-01,9.353632e-01,2.240667e-01
2,S.2,normal,5.063555e+01,1.786677e+02,4.058829e+02,9.345133e-02,8.634405e-01,-4.957190e-01
3,S.3,normal,-9.318855e+00,1.068425e+02,4.228888e+02,-8.688688e-01,3.842300e-01,3.121447e-01
4,S.4,normal,-1.951752e+01,1.677425e+01,4.393484e+02,-4.452746e-01,-3.261006e-01,8.338999e-01
5,S.5,normal,1.254524e+02,1.069382e+02,4.172521e+02,9.854619e-01,-1.098228e-01,-1.296293e-01
6,S.6,normal,1.221812e+02,1.183943e+02,3.971348e+02,9.052969e-01,3.292639e-01,-2.683710e-01
7,S.7,normal,1.243340e+02,1.254482e+02,4.279218e+02,9.567003e-01,5.781127e-02,-2.852756e-01
8,S.8,normal,1.186295e+02,1.405848e+02,4.093829e+02,8.705770e-01,2.958887e-01,-3.931228e-01
9,S.9,normal,9.653510e+01,1.433710e+02,3.984518e+02,-3.669358e-02,-8.719317e-01,-4.882508e-01
10,S.10,normal,1.000881e+02,1.584518e+02,4.117471e+02,-5.482448e-01,-1.119085e-01,8.287969e-01
11,S.11,normal,1.336491e+02,1.396998e+02,3.818397e+02,8.791723e-01,7.801447e-02,-4.700741e-01
12,S.12,normal,1.167937e+02,1.330743e+02,3.724501e+02,-3.478047e-01,-1.046376e-01,-9.317097e-01
13,S.13,normal,1.412861e+02,1.649812e+02,4.113312e+02,3.326358e-01,6.065497e-01,-7.221155e-01
14,S.14,normal,1.277321e+02,1.627886e+02,4.238243e+02,-5.813703e-01,7.763400e-01,-2.435254e-01
15,S.15,normal,1.582536e+02,1.436447e+02,4.325807e+02,9.481422e-01,-1.366407e-01,2.869771e-01
16,S.16,normal,9.602591e+01,1.257959e+02,4.289396e+02,7.842346e-01,6.074587e-01,-1.263722e-01
17,S.17,normal,9.955013e+01,1.372395e+02,4.489478e+02,-6.395122e-01,7.621291e-01,1.009121e-01
18,S.18,normal,1.011118e+02,1.228484e+02,4.524506e+02,2.048026e-01,-9.775376e-01,-4.975957e-02
19,S.19,normal,1.888284e+01,1.107412e+02,4.387126e+02,-2.895513e-01,6.572369e-02,9.549034e-01
