Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,6.118206e+00,9.252684e+01,3.393418e+02,-3.340540e-01,8.306617e-01,4.454314e-01
2,S.2,normal,-2.886159e+01,9.309398e+01,3.372857e+02,-6.450522e-01,7.342418e-01,2.116527e-01
3,S.3,normal,-3.464183e+01,2.916410e+01,3.315179e+02,-8.867191e-01,-4.551562e-01,8.100660e-02
4,S.4,normal,-1.042985e+01,-4.508171e+01,3.133320e+02,-3.526241e-01,-8.763976e-01,-3.279993e-01
5,S.5,normal,5.774559e+01,8.272855e+01,3.507125e+02,9.794770e-01,-1.493871e-01,-1.353081e-01
6,S.6,normal,4.958725e+01,9.301648e+01,3.383404e+02,5.158079e-01,4.791372e-01,-7.101900e-01
7,S.7,normal,4.629341e+01,8.556247e+01,3.642365e+02,-6.643380e-02,-4.819846e-04,9.977908e-01
8,S.8,normal,3.257689e+01,1.082568e+02,3.518535e+02,2.475400e-01,9.180567e-01,3.096704e-01
9,S.9,normal,1.796582e+01,1.015966e+02,3.321350e+02,5.736984e-01,-4.614346e-01,-6.767187e-01
10,S.10,normal,1.236333e+01,1.106650e+02,3.410535e+02,-3.681262e-01,-2.389140e-01,8.985562e-01
11,S.11,normal,4.366534e+01,1.262642e+02,3.324737e+02,3.447013e-01,9.123334e-01,2.209722e-01
12,S.12,normal,4.513639e+01,1.118665e+02,3.238733e+02,4.257144e-01,-6.688514e-01,-6.094301e-01
13,S.13,normal,3.931926e+01,1.411872e+02,3.589004e+02,-5.439404e-02,8.621491e-01,-5.037263e-01
14,S.14,normal,2.281123e+01,1.192172e+02,3.758792e+02,-9.397078e-01,3.419209e-01,-6.259469e-03
15,S.15,normal,4.165994e+01,1.157788e+02,3.867325e+02,5.851288e-01,1.196495e-01,8.020650e-01
16,S.16,normal,2.867751e+01,8.199857e+01,3.602977e+02,5.396248e-01,8.291444e-01,1.460301e-01
17,S.17,normal,9.370605e+00,9.312654e+01,3.790376e+02,-9.310505e-01,2.550321e-01,-2.609665e-01
18,S.18,normal,1.738232e+01,8.691826e+01,3.816756e+02,3.948297e-01,-6.314376e-01,6.673800e-01
19,S.19,normal,-2.482301e+01,3.540809e+01,3.425359e+02,-3.278604e-01,-6.114190e-01,7.201905e-01
