Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,7.461735e+00,4.648963e+01,3.730925e+02,-7.105054e-01,6.879286e-01,-1.481085e-01
2,S.2,normal,-1.033993e+01,3.184215e+01,3.740951e+02,-6.697176e-01,5.611138e-01,4.864461e-01
3,S.3,normal,-7.760059e+00,5.289818e+00,3.721783e+02,-9.428477e-01,-1.251231e-01,3.088402e-01
4,S.4,normal,1.056814e+00,-1.819145e+01,3.632832e+02,-4.158993e-01,-8.094358e-01,-4.145377e-01
5,S.5,normal,3.132435e+01,4.610993e+01,3.794969e+02,9.944739e-01,1.030397e-01,2.010616e-02
6,S.6,normal,2.511865e+01,5.165688e+01,3.751926e+02,1.019497e-01,8.646675e-01,-4.918907e-01
7,S.7,normal,2.457100e+01,4.818090e+01,3.852810e+02,2.604763e-01,3.419527e-01,9.028956e-01
8,S.8,normal,1.995095e+01,5.631025e+01,3.816180e+02,5.492098e-01,7.114676e-01,4.383861e-01
9,S.9,normal,1.482407e+01,5.295604e+01,3.704582e+02,2.907936e-01,-4.841959e-01,-8.252233e-01
10,S.10,normal,1.393107e+01,5.913556e+01,3.769457e+02,-3.116793e-01,2.186780e-01,9.246814e-01
11,S.11,normal,2.783591e+01,6.457352e+01,3.716671e+02,7.956856e-02,9.736316e-01,-2.137998e-01
12,S.12,normal,2.719225e+01,5.890817e+01,3.693151e+02,3.457769e-01,-7.401993e-01,-5.766658e-01
13,S.13,normal,2.260629e+01,6.806676e+01,3.900996e+02,-5.210662e-01,8.453315e-01,-1.179180e-01
14,S.14,normal,1.834907e+01,5.586034e+01,3.928762e+02,-8.820645e-01,4.112885e-01,2.297910e-01
15,S.15,normal,2.421371e+01,5.382145e+01,3.970040e+02,2.940395e-01,-7.657353e-02,9.527210e-01
16,S.16,normal,1.698897e+01,3.984430e+01,3.836470e+02,4.928613e-01,8.657241e-01,-8.723292e-02
17,S.17,normal,1.240389e+01,4.175445e+01,3.914080e+02,-9.657758e-01,2.573225e-01,-3.259370e-02
18,S.18,normal,1.482882e+01,4.005335e+01,3.939960e+02,5.351390e-01,-6.736307e-01,5.097528e-01
19,S.19,normal,6.693282e-01,1.810807e+01,3.794515e+02,-2.308325e-02,-5.774613e-01,8.160917e-01
