Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,9.319768e+01,1.573807e+02,4.183465e+02,9.195903e-02,9.876254e-01,1.270414e-01
2,S.2,normal,5.977037e+01,1.864090e+02,4.333357e+02,1.847712e-02,9.006107e-01,4.342337e-01
3,S.3,normal,1.280001e+01,1.007916e+02,4.208055e+02,-9.661457e-01,-5.605118e-02,2.518348e-01
4,S.4,normal,1.919394e+01,-1.114483e+01,4.036599e+02,-3.322798e-01,-9.296475e-01,1.592032e-01
5,S.5,normal,1.490782e+02,1.199063e+02,4.245425e+02,9.945657e-01,6.240818e-02,8.333226e-02
6,S.6,normal,1.412033e+02,1.328975e+02,4.070424e+02,6.406683e-01,4.375667e-01,-6.309354e-01
7,S.7,normal,1.392164e+02,1.343239e+02,4.380885e+02,7.843592e-01,4.214448e-01,4.551538e-01
8,S.8,normal,1.360050e+02,1.583841e+02,4.210208e+02,9.220912e-01,2.058770e-01,3.276622e-01
9,S.9,normal,1.162896e+02,1.579921e+02,4.061206e+02,8.458222e-02,-7.346353e-01,-6.731694e-01
10,S.10,normal,1.120116e+02,1.728373e+02,4.189247e+02,-5.557259e-01,-3.152892e-02,8.307676e-01
11,S.11,normal,1.540087e+02,1.665767e+02,3.945181e+02,9.863043e-01,1.379557e-01,-9.039944e-02
12,S.12,normal,1.462442e+02,1.528753e+02,3.834940e+02,-1.531647e-01,-4.715207e-01,-8.684521e-01
13,S.13,normal,1.661881e+02,1.872273e+02,4.293118e+02,2.794412e-01,7.273359e-01,-6.268133e-01
14,S.14,normal,1.431743e+02,1.792594e+02,4.517720e+02,-6.586780e-01,6.242490e-01,4.200672e-01
15,S.15,normal,1.673411e+02,1.605024e+02,4.575425e+02,8.242242e-01,-3.597815e-01,4.372774e-01
16,S.16,normal,1.153418e+02,1.319988e+02,4.337165e+02,9.443909e-01,2.481644e-01,-2.157321e-01
17,S.17,normal,1.145710e+02,1.520486e+02,4.588725e+02,-6.135030e-01,7.896508e-01,8.105163e-03
18,S.18,normal,1.175146e+02,1.404249e+02,4.634126e+02,3.499190e-01,-7.439592e-01,5.692814e-01
19,S.19,normal,4.685700e+01,1.093246e+02,4.398196e+02,-2.006671e-01,-2.200800e-01,9.546190e-01
