Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,-1.166758e+01,7.069865e+01,3.292096e+02,-6.501923e-01,7.323465e-01,2.022833e-01
2,S.2,normal,-3.082072e+01,5.857597e+01,3.316162e+02,-7.606378e-01,6.221138e-01,1.854848e-01
3,S.3,normal,-2.808760e+01,3.023590e+01,3.322940e+02,-8.802361e-01,-3.316098e-01,3.394400e-01
4,S.4,normal,-1.768189e+01,4.523972e+00,3.245734e+02,-2.987630e-01,-9.489221e-01,-1.014277e-01
5,S.5,normal,1.090946e+01,7.226501e+01,3.357408e+02,7.914537e-01,5.904896e-01,1.578704e-01
6,S.6,normal,5.240196e+00,7.654102e+01,3.309355e+02,1.357957e-01,5.226239e-01,-8.416792e-01
7,S.7,normal,4.652277e+00,7.407167e+01,3.419646e+02,1.917881e-01,2.445587e-01,9.504780e-01
8,S.8,normal,-2.938461e-02,8.139221e+01,3.363530e+02,5.313134e-02,8.845788e-01,4.633546e-01
9,S.9,normal,-5.557241e+00,7.449578e+01,3.265520e+02,2.616555e-01,-7.666137e-01,-5.863786e-01
10,S.10,normal,-4.854424e+00,8.172235e+01,3.319603e+02,2.039780e-02,6.423118e-01,7.661721e-01
11,S.11,normal,5.815397e+00,8.852576e+01,3.260255e+02,-6.981307e-02,9.967739e-01,3.959717e-02
12,S.12,normal,6.722461e+00,8.217726e+01,3.239469e+02,7.719158e-02,-8.517123e-01,-5.182928e-01
13,S.13,normal,1.594498e+00,9.458872e+01,3.419585e+02,-1.884499e-01,9.329412e-01,-3.067693e-01
14,S.14,normal,-2.796726e+00,8.727264e+01,3.433066e+02,-8.017449e-01,-1.320676e-01,-5.828922e-01
15,S.15,normal,1.354652e+00,8.840972e+01,3.499743e+02,-1.820274e-01,4.953134e-01,8.494297e-01
16,S.16,normal,-2.796429e+00,6.744160e+01,3.400185e+02,4.425534e-01,8.238063e-01,3.542451e-01
17,S.17,normal,-8.129517e+00,7.054570e+01,3.488851e+02,-9.228038e-01,3.672860e-01,-1.163362e-01
18,S.18,normal,-4.568642e+00,6.865640e+01,3.509607e+02,5.172153e-01,-6.644382e-01,5.394538e-01
19,S.19,normal,-2.071026e+01,4.299495e+01,3.381597e+02,-1.510520e-01,-3.966957e-01,9.054369e-01
