Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,1.350418e+01,7.465473e+01,3.498540e+02,-8.543083e-01,1.477499e-01,4.983247e-01
2,S.2,normal,7.195118e+00,5.572732e+01,3.635418e+02,-6.739654e-01,6.582753e-02,7.358243e-01
3,S.3,normal,3.362502e+01,3.345443e+01,3.648611e+02,-2.506200e-01,-3.102937e-01,9.170101e-01
4,S.4,normal,5.257517e+01,1.703935e+01,3.535056e+02,3.516998e-01,-9.036976e-01,2.442089e-01
5,S.5,normal,3.229027e+01,9.032043e+01,3.410547e+02,4.674439e-01,8.240244e-01,-3.201249e-01
6,S.6,normal,2.371710e+01,8.867976e+01,3.405119e+02,-4.087922e-01,6.063966e-01,-6.820352e-01
7,S.7,normal,2.895343e+01,9.013513e+01,3.498135e+02,4.511324e-01,5.299621e-01,7.180667e-01
8,S.8,normal,1.844280e+01,9.082242e+01,3.480839e+02,-8.820990e-02,9.951102e-01,-4.443512e-02
9,S.9,normal,1.341326e+01,7.763986e+01,3.451081e+02,3.317146e-01,-7.935888e-01,-5.100806e-01
10,S.10,normal,1.203774e+01,8.758861e+01,3.469072e+02,3.448398e-01,8.661578e-01,3.617405e-01
11,S.11,normal,1.165467e+01,9.603921e+01,3.358693e+02,-6.253283e-01,7.745374e-01,-9.516474e-02
12,S.12,normal,1.514493e+01,9.040040e+01,3.324119e+02,2.832082e-01,-6.178297e-01,-7.335391e-01
13,S.13,normal,1.374651e+01,1.066165e+02,3.515060e+02,-8.688852e-01,4.612290e-01,-1.797397e-01
14,S.14,normal,1.745481e+01,1.006686e+02,3.565371e+02,-8.017720e-01,-2.251694e-01,5.535885e-01
15,S.15,normal,2.429647e+01,1.067074e+02,3.563803e+02,7.201006e-01,6.840132e-01,1.165378e-01
16,S.16,normal,2.766107e+01,8.061570e+01,3.546345e+02,-1.570811e-01,8.923741e-01,-4.230767e-01
17,S.17,normal,2.858130e+01,8.414439e+01,3.645588e+02,-8.409098e-01,-2.611078e-01,4.740183e-01
18,S.18,normal,3.155922e+01,8.459135e+01,3.626620e+02,9.650089e-01,2.616085e-01,1.785654e-02
19,S.19,normal,3.169806e+01,5.052103e+01,3.635233e+02,6.694962e-01,-1.335360e-01,7.307140e-01
