Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,6.580585e+01,6.594505e+01,3.853922e+02,-1.804851e-01,9.832796e-01,2.421949e-02
2,S.2,normal,4.113839e+01,8.665807e+01,3.737783e+02,-3.177890e-01,9.477891e-01,2.656884e-02
3,S.3,normal,1.937504e+00,1.404231e+01,3.952997e+02,-8.620025e-01,-1.921548e-01,4.690718e-01
4,S.4,normal,-1.723839e+01,-6.995081e+01,3.663823e+02,-7.344934e-01,-5.208800e-01,4.349752e-01
5,S.5,normal,1.154151e+02,4.233374e+01,3.978839e+02,9.539328e-01,-2.651423e-01,-1.403986e-01
6,S.6,normal,1.071401e+02,5.563383e+01,3.850719e+02,6.372305e-01,5.249699e-01,-5.642198e-01
7,S.7,normal,1.077645e+02,4.623649e+01,4.104658e+02,5.508551e-01,3.062159e-01,7.763958e-01
8,S.8,normal,9.731075e+01,7.446813e+01,4.015880e+02,7.226765e-01,5.199779e-01,4.553698e-01
9,S.9,normal,7.980077e+01,7.064994e+01,3.835136e+02,3.679405e-01,-7.494212e-01,-5.504432e-01
10,S.10,normal,7.578023e+01,8.035750e+01,3.917069e+02,-6.634916e-01,-1.142781e-01,7.394047e-01
11,S.11,normal,1.098957e+02,8.172685e+01,3.788825e+02,6.041750e-01,7.963029e-01,-2.956675e-02
12,S.12,normal,1.055984e+02,6.649391e+01,3.736213e+02,1.351875e-02,-7.126587e-01,-7.013806e-01
13,S.13,normal,1.137168e+02,9.997340e+01,4.137318e+02,1.398625e-01,6.727178e-01,-7.265599e-01
14,S.14,normal,9.503938e+01,7.848034e+01,4.285820e+02,-6.546055e-01,5.456355e-01,5.232335e-01
15,S.15,normal,1.097816e+02,7.046954e+01,4.354473e+02,5.525540e-01,-4.457678e-01,7.042549e-01
16,S.16,normal,8.669189e+01,4.868726e+01,4.064460e+02,4.081300e-01,9.100060e-01,7.293111e-02
17,S.17,normal,8.039123e+01,6.211526e+01,4.289370e+02,-5.971996e-01,8.017905e-01,-2.201293e-02
18,S.18,normal,8.560938e+01,5.356102e+01,4.332157e+02,1.864873e-01,-6.082288e-01,7.715440e-01
19,S.19,normal,2.946340e+01,2.199527e+01,4.035486e+02,-4.298607e-01,1.017959e-01,8.971385e-01
